expression_key,lang_key,expression,lang,paraphrase_candidates_maggie,wordnet_synonyms,wordnet_synonym1,paraphrase1_gpt55pro20260423,paraphrase1_gpt5nano20250807
eternal rest,eng,eternal rest,eng,rest|sleep|eternal sleep|quietus|death,rest|sleep|eternal sleep|quietus,rest,death,death
everything but the kitchen sink,eng,everything but the kitchen sink,eng,everything,,,everything,everything
exame clínico,pt,exame clínico,pt,avaliação,,,avaliação,avaliação
exame laboratorial,pt,exame laboratorial,pt,análise|teste,,,análise,teste
expérience professionnel,fr,expérience professionnel,fr,expertise|carrière,,,expertise,carrière
eye candy,eng,eye candy,eng,attractiveness,,,attractiveness,attractiveness
face the music,eng,face the music,eng,carry-the can|confront,carry-the can,carry-the can,confront,confront
face to face,eng,face to face,eng,directly|inperson,,,directly,inperson
face value,eng,face value,eng,par value|nominal value|denomination|appearance,par value|nominal value,par value,denomination,appearance
fair play,eng,fair play,eng,fairness|sportsmanship,,,fairness,sportsmanship
fairy tale,eng,fairy tale,eng,fairytale|fairy story|cock-and-bull story|song and dance|fantasy,fairytale|fairy story|cock-and-bull story|song and dance,fairytale,fairytale,fantasy
fait divers,fr,fait divers,fr,événement|brève,,,événement,brève
fall from grace,eng,fall from grace,eng,disgrace|downfall,,,disgrace,downfall
fall guy,eng,fall guy,eng,chump|fool|gull|mark|patsy|sucker|soft touch|mug|scapegoat,chump|fool|gull|mark|patsy|sucker|soft touch|mug,chump,scapegoat,scapegoat
fall in line,eng,fall in line,eng,conform,,,conform,conform
famille nombreux,fr,famille nombreux,fr,tribu|nombreuse,,,tribu,nombreuse
far and away,eng,far and away,eng,by far|out and away|easily|vastly,by far|out and away,by far,easily,vastly
farinha integral,pt,farinha integral,pt,integral,,,integral,integral
fashion plate,eng,fashion plate,eng,dandy|dude|fop|gallant|sheik|beau|swell|clotheshorse|fashionista,dandy|dude|fop|gallant|sheik|beau|swell|clotheshorse,dandy,fashionista,fashionista
fast and furious,eng,fast and furious,eng,frenetic,,,frenetic,frenetic
faux ami,fr,faux ami,fr,paronyme|piège,,,paronyme,piège
faux cul,fr,faux cul,fr,hypocrite,,,hypocrite,hypocrite
faux pas,fr,faux pas,fr,Solécisme|bévue|gaffe|impair|soulier,Solécisme|bévue|gaffe|impair|soulier,Solécisme,gaffe,gaffe
faux semblant,fr,faux semblant,fr,feinte|simulacre,,,feinte,simulacre
febre amarela,pt,febre amarela,pt,Febre-amarela|amarilose|doença,Febre-amarela,Febre-amarela,amarilose,doença
febre amarelo,pt,febre amarelo,pt,amarilose|doença,,,amarilose,doença
feel the pinch,eng,feel the pinch,eng,struggle|hardship,,,struggle,hardship
fenda dixital,gl,fenda dixital,gl,desigualdade|brecha,,,desigualdade,brecha
festa rachada,gl,festa rachada,gl,esmorga|desastre,,,esmorga,desastre
feu rouge,fr,feu rouge,fr,arrêt,,,arrêt,arrêt
feu vert,fr,feu vert,fr,autorisation,,,autorisation,autorisation
ficha limpa,pt,ficha limpa,pt,ilibado|integridade,,,ilibado,integridade
ficha limpo,pt,ficha limpo,pt,idôneo|integridade,,,idôneo,integridade
field work,eng,field work,eng,fieldwork,,,fieldwork,fieldwork
fight fire with fire,eng,fight fire with fire,eng,retaliate|retaliation,,,retaliate,retaliation
fil conducteur,fr,fil conducteur,fr,trame|thème,,,trame,thème
fila indiana,pt,fila indiana,pt,tandem|coluna|fileira,tandem,tandem,coluna,fileira
fila indiano,pt,fila indiano,pt,coluna|fileira,,,coluna,fileira
fill someone's shoes,eng,fill someone's shoes,eng,replace|succeed,,,replace,succeed
fine line,eng,fine line,eng,distinction|nuance,,,distinction,nuance
fio condutor,pt,fio condutor,pt,diretriz|tema,,,diretriz,tema
fire in the belly,eng,fire in the belly,eng,drive|passion,,,drive,passion
firing line,eng,firing line,eng,frontline,,,frontline,frontline
fish story,eng,fish story,eng,exaggeration|fabrication,,,exaggeration,fabrication
flash in the pan,eng,flash in the pan,eng,ephemeral|fizzle,,,ephemeral,fizzle
flea market,eng,flea market,eng,bazaar|swapmeet,,,bazaar,swapmeet
fleur bleu,fr,fleur bleu,fr,sentimental|naïf,,,sentimental,naïf
flower child,eng,flower child,eng,hippie|hippy|hipster,hippie|hippy|hipster,hippie,hippie,hippie
fly a kite,eng,fly a kite,eng,float|leave,,,float,leave
fly in the face of,eng,fly in the face of,eng,fly in the teeth of|defy,fly in the teeth of,fly in the teeth of,defy,defy
fly off the handle,eng,fly off the handle,eng,flip one's lid|blow up|throw a fit|hit the roof|hit the ceiling|have kittens|have a fit|combust|blow one's stack|flip one's wig|lose one's temper|blow a fuse|go ballistic|explode|rage,flip one's lid|blow up|throw a fit|hit the roof|hit the ceiling|have kittens|have a fit|combust|blow one's stack|flip one's wig|lose one's temper|blow a fuse|go ballistic,flip one's lid,explode,rage
foie gras,fr,foie gras,fr,pâté|délice,,,pâté,délice
follow in someone's footsteps,eng,follow in someone's footsteps,eng,emulate,,,emulate,emulate
food market,eng,food market,eng,grocery store|grocery|market,grocery store|grocery|market,grocery store,grocery,grocery
foot soldier,eng,foot soldier,eng,infantryman|marcher|footslogger|subordinate|subsidiary|underling,infantryman|marcher|footslogger|subordinate|subsidiary|underling,infantryman,infantryman,infantryman
football season,eng,football season,eng,season,,,season,season
for a song,eng,for a song,eng,for a bargain price|at a low price|cheaply,for a bargain price|at a low price,for a bargain price,cheaply,cheaply
force someone's hand,eng,force someone's hand,eng,compel|coerce,,,compel,coerce
força bruta,pt,força bruta,pt,violência|potência,,,violência,potência
força bruto,pt,força bruto,pt,violência|potência,,,violência,potência
fou rire,fr,fou rire,fr,hilarité,,,hilarité,hilarité
free and easy,eng,free and easy,eng,casual|easygoing,,,casual,easygoing
fresh water,eng,fresh water,eng,freshwater,freshwater,freshwater,freshwater,freshwater
freudian slip,eng,Freudian slip,eng,parapraxis|gaffe|slip,,,parapraxis,gaffe|slip
front man,eng,front man,eng,front|figurehead|nominal head|straw man|strawman,front|figurehead|nominal head|straw man|strawman,front,figurehead,figurehead
front runner,eng,front runner,eng,favorite|leader,,,favorite,leader
full of beans,eng,full of beans,eng,energetic,,,energetic,energetic
full speed ahead,eng,full speed ahead,eng,rapidly|accelerate,,,rapidly,accelerate
fun and games,eng,fun and games,eng,amusement,,,amusement,amusement
game plan,eng,game plan,eng,strategy,,,strategy,strategy
gato pingado,pt,gato pingado,pt,insignificante|pobre,,,insignificante,pobre
gato-pingado,pt,gato-pingado,pt,insignificante|pobre,,,insignificante,pobre
gelo seco,pt,gelo seco,pt,Gelo-seco|carbogelo|frio,Gelo-seco,Gelo-seco,carbogelo,frio
gelo-seco,pt,gelo-seco,pt,Gelo seco|carbogelo|congelante,Gelo seco,Gelo seco,carbogelo,congelante
get a grip,eng,get a grip,eng,calm|composure,,,calm,composure
get a life,eng,get a life,eng,live|mature,,,live,mature
get a rise out of,eng,get a rise out of,eng,provoke,,,provoke,provoke
get away with murder,eng,get away with murder,eng,impunity,,,impunity,impunity
get it up,eng,get it up,eng,erect,,,erect,erect
get off the ground,eng,get off the ground,eng,take off|start|begin,take off,take off,start,begin
get stuck in,eng,get stuck in,eng,start|dive,,,start,dive
get the boot,eng,get the boot,eng,fired,,,fired,fired
get the picture,eng,get the picture,eng,grok|comprehend|savvy|dig|grasp|compass|apprehend|understand,grok|comprehend|savvy|dig|grasp|compass|apprehend,grok,understand,understand
get to grips with,eng,get to grips with,eng,tackle|grasp,,,tackle,grasp
get to the bottom of,eng,get to the bottom of,eng,uncover|ascertain,,,uncover,ascertain
get under someone's skin,eng,get under someone's skin,eng,irritate,,,irritate,irritate
ghost town,eng,ghost town,eng,deserted,,,deserted,deserted
glass ceiling,eng,glass ceiling,eng,barrier,,,barrier,barrier
glóbulos vermellos,gl,glóbulos vermellos,gl,eritrocitos,,,eritrocitos,eritrocitos
go all the way,eng,go all the way,eng,finish|commit,,,finish,commit
go for the jugular,eng,go for the jugular,eng,attack,,,attack,attack
go the distance,eng,go the distance,eng,persevere,,,persevere,persevere
go the extra mile,eng,go the extra mile,eng,overdeliver|exceed,,,overdeliver,exceed
go to the wall,eng,go to the wall,eng,fail|bankrupt,,,fail,bankrupt
go to town,eng,go to town,eng,indulge|vim,,,indulge,vim
go with the flow,eng,go with the flow,eng,adapt|acquiesce,,,adapt,acquiesce
gold mine,eng,gold mine,eng,goldmine|bonanza,goldmine,goldmine,bonanza,bonanza
golpe baixo,pt,golpe baixo,pt,deslealdade|trapaça,,,deslealdade,trapaça
golpe duro,gl,golpe duro,gl,revés|impacto,,,revés,impacto
goose egg,eng,goose egg,eng,nothing|nil|nix|nada|aught|cipher|cypher|naught|zero|zilch|zip|zippo,nothing|nil|nix|nada|aught|cipher|cypher|naught|zero|zilch|zip|zippo,nothing,zero,zero
governo federal,pt,governo federal,pt,União,,,União,União
graduate student,eng,graduate student,eng,grad student|postgraduate,grad student|postgraduate,grad student,postgraduate,postgraduate
grand air,fr,grand air,fr,extérieur|hauteur,,,extérieur,hauteur
grand entreprise,fr,grand entreprise,fr,firme|projet,,,firme,projet
grand jour,fr,grand jour,fr,clarté|événement,,,clarté,événement
grand saut,fr,grand saut,fr,décision|percée,,,décision,percée
grand surface,fr,grand surface,fr,supermarché|hypermarché,,,supermarché,hypermarché
grand écran,fr,grand écran,fr,cinéma,,,cinéma,cinéma
grandfather clock,eng,grandfather clock,eng,longcase clock|clock|longcase,longcase clock,longcase clock,clock,longcase
grasp the nettle,eng,grasp the nettle,eng,tackle|confront,,,tackle,confront
grass root,eng,grass root,eng,grassroots|base,,,grassroots,base
graveyard shift,eng,graveyard shift,eng,night shift|nightshift,night shift,night shift,nightshift,nightshift
gravy train,eng,gravy train,eng,easy money|bonanza|sinecure,easy money,easy money,bonanza,sinecure
grease the wheels,eng,grease the wheels,eng,facilitate,,,facilitate,facilitate
grey matter,eng,grey matter,eng,gray matter|grey substance|gray substance|substantia grisea|intelligence|brain,gray matter|grey substance|gray substance|substantia grisea,gray matter,intelligence,brain
grind to a halt,eng,grind to a halt,eng,get stuck|bog down|mire|stop|stall,get stuck|bog down|mire,get stuck,stop,stall
gripe aviária,pt,gripe aviária,pt,influenza,,,influenza,influenza
gripe aviário,pt,gripe aviário,pt,influenza,,,influenza,influenza
gripe suína,pt,gripe suína,pt,Influenza A H1N1|H1N1|influenza,Influenza A H1N1,Influenza A H1N1,H1N1,influenza
gripe suíno,pt,gripe suíno,pt,influenza,,,influenza,influenza
grippe aviaire,fr,grippe aviaire,fr,influenza,,,influenza,influenza
gros mot,fr,gros mot,fr,Juron|impiété|insanité,Juron|impiété|insanité,Juron,juron,juron
gros plan,fr,gros plan,fr,zoom|proximité,,,zoom,proximité
ground floor,eng,ground floor,eng,first floor|ground level|downstairs|beginning,first floor|ground level,first floor,downstairs,beginning
guarda florestal,pt,guarda florestal,pt,florestal|guardião,,,florestal,guardião
guarda-florestal,pt,guarda-florestal,pt,mateiro|guardião,,,mateiro,guardião
guerre civil,fr,guerre civil,fr,conflit,,,conflit,conflit
guilt trip,eng,guilt trip,eng,guilt|guilty conscience|guilt feelings|remorse|manipulation,guilt|guilty conscience|guilt feelings,guilt,remorse,manipulation
guinea pig,eng,guinea pig,eng,subject|case|Cavia cobaya,subject|case|Cavia cobaya,subject,subject,subject
hair of the dog,eng,hair of the dog,eng,booze|cure,,,booze,cure
half sister,eng,half sister,eng,half-sister|stepsister|sister|sibling,half-sister|stepsister,half-sister,sister,sibling
half wit,eng,half wit,eng,idiot|fool,,,idiot,fool
hammer and tongs,eng,hammer and tongs,eng,vigorously|fiercely,,,vigorously,fiercely
hard drive,eng,hard drive,eng,disk drive|disc drive|Winchester drive|disk,disk drive|disc drive|Winchester drive,disk drive,disk,disk
hard shoulder,eng,hard shoulder,eng,shoulder|emergency,,,shoulder,emergency
haut mer,fr,haut mer,fr,large|océan,,,large,océan
haut montagne,fr,haut montagne,fr,alpin|sommet,,,alpin,sommet
haut parleur,fr,haut parleur,fr,enceinte,,,enceinte,enceinte
have a ball,eng,have a ball,eng,have a good time|enjoy,have a good time,have a good time,enjoy,enjoy
have a few,eng,have a few,eng,drink|possess,,,drink,possess
have a heart,eng,have a heart,eng,sympathize|compassion,,,sympathize,compassion
have someone's number,eng,have someone's number,eng,understand|insight,,,understand,insight
head for the hills,eng,head for the hills,eng,scat|run|scarper|turn tail|lam|run away|hightail it|bunk|take to the woods|escape|fly the coop|break away|flee,scat|run|scarper|turn tail|lam|run away|hightail it|bunk|take to the woods|escape|fly the coop|break away,scat,flee,flee
head hunter,eng,head hunter,eng,recruiter,,,recruiter,recruiter
head over heels,eng,head over heels,eng,heels over head|topsy-turvy|topsy-turvily|in great confusion|smitten|enamored,heels over head|topsy-turvy|topsy-turvily|in great confusion,heels over head,smitten,enamored
head teacher,eng,head teacher,eng,principal|school principal|head,principal|school principal|head,principal,principal,principal
heads will roll,eng,heads will roll,eng,punishment,,,punishment,punishment
health care,eng,health care,eng,healthcare,healthcare,healthcare,healthcare,healthcare
health check,eng,health check,eng,checkup|medical checkup|medical examination|medical exam|medical,checkup|medical checkup|medical examination|medical exam|medical,checkup,checkup,checkup
health insurance,eng,health insurance,eng,coverage,,,coverage,coverage
heart and soul,eng,heart and soul,eng,kernel|substance|core|center|centre|essence|gist|heart|inwardness|marrow|meat|nub|pith|sum|nitty-gritty|body and soul|wholeheartedly,kernel|substance|core|center|centre|essence|gist|heart|inwardness|marrow|meat|nub|pith|sum|nitty-gritty|body and soul,kernel,wholeheartedly,essence
heart of gold,eng,heart of gold,eng,kindness,,,kindness,kindness
heavy cross,eng,heavy cross,eng,burden,,,burden,burden
hen party,eng,hen party,eng,bachelorette,,,bachelorette,bachelorette
heure supplémentaire,fr,heure supplémentaire,fr,surtemps|supplémentaire,,,surtemps,supplémentaire
high and mighty,eng,high and mighty,eng,arrogant|haughty,,,arrogant,haughty
high life,eng,high life,eng,extravagance|prodigality|lavishness|highlife|luxury,extravagance|prodigality|lavishness|highlife,extravagance,luxury,luxury
hit the bottle,eng,hit the bottle,eng,booze|drink,,,booze,drink
hit the jackpot,eng,hit the jackpot,eng,luck out|win|windfall,luck out,luck out,win,windfall
hit the nail on the head,eng,hit the nail on the head,eng,correct|exactly,,,correct,exactly
hold someone's hand,eng,hold someone's hand,eng,support|assist,,,support,assist
hold the line,eng,hold the line,eng,hang on|hold on|resist|defend,hang on|hold on,hang on,resist,defend
home run,eng,home run,eng,homer|bell ringer|bull's eye|mark|success,homer|bell ringer|bull's eye|mark,homer,success,success
honey trap,eng,honey trap,eng,entrapment,,,entrapment,entrapment
horas baixas,gl,horas baixas,gl,crise|desánimo,,,crise,desánimo
horses for courses,eng,horses for courses,eng,suitability,,,suitability,suitability
hot and heavy,eng,hot and heavy,eng,passionate|steamy,,,passionate,steamy
hot potato,eng,hot potato,eng,controversy,,,controversy,controversy
huile essentiel,fr,huile essentiel,fr,essence,,,essence,essence
human being,eng,human being,eng,homo|man|human|person,homo|man|human,homo,person,person
idée reçu,fr,idée reçu,fr,préjugé|cliché,,,préjugé,cliché
in a nutshell,eng,in a nutshell,eng,briefly,,,briefly,briefly
in bed with,eng,in bed with,eng,colluding|collusion,,,colluding,collusion
in black and white,eng,in black and white,eng,written|explicitly,,,written,explicitly
in cold blood,eng,in cold blood,eng,coldly|ruthlessly,coldly,coldly,ruthlessly,ruthlessly
in someone's pocket,eng,in someone's pocket,eng,controlled|subservient,,,controlled,subservient
in the bag,eng,in the bag,eng,certain|guaranteed,,,certain,guaranteed
in the black,eng,in the black,eng,profitable,,,profitable,profitable
in the clear,eng,in the clear,eng,safe|cleared,,,safe,cleared
in the doghouse,eng,in the doghouse,eng,disfavored|trouble,,,disfavored,trouble
in the driver's seat,eng,in the driver's seat,eng,controlling|control,,,controlling,control
in the driving seat,eng,in the driving seat,eng,controlling|control,,,controlling,control
in the fast lane,eng,in the fast lane,eng,hectically|dynamic,,,hectically,dynamic
in the final analysis,eng,in the final analysis,eng,ultimately,,,ultimately,ultimately
in the hole,eng,in the hole,eng,indebted,,,indebted,indebted
in the loop,eng,in the loop,eng,informed,,,informed,informed
in the offing,eng,in the offing,eng,imminent,,,imminent,imminent
in the pink,eng,in the pink,eng,healthy,,,healthy,healthy
in the raw,eng,in the raw,eng,bare-assed|bare-ass|in the altogether|in the buff|raw|peeled|naked as a jaybird|stark naked|naked,bare-assed|bare-ass|in the altogether|in the buff|raw|peeled|naked as a jaybird|stark naked,bare-assed,naked,naked
in the red,eng,in the red,eng,indebted,,,indebted,indebted
in the soup,eng,in the soup,eng,trouble,,,trouble,trouble
in your dreams,eng,in your dreams,eng,never|impossible,,,never,impossible
in your face,eng,in your face,eng,confrontational|brazen,,,confrontational,brazen
incendios forestais,gl,incendios forestais,gl,lumes|fogos,,,lumes,fogos
incubation period,eng,incubation period,eng,latency,,,latency,latency
information age,eng,information age,eng,cyberage|modernity,,,cyberage,modernity
injury time,eng,injury time,eng,overtime|stoppage,,,overtime,stoppage
inner circle,eng,inner circle,eng,clique|coterie|ingroup|pack|camp|insiders,clique|coterie|ingroup|pack|camp,clique,coterie,insiders
inner product,eng,inner product,eng,scalar product|dot product|pairing|dot,scalar product|dot product,scalar product,pairing,dot
insane asylum,eng,insane asylum,eng,mental hospital|psychiatric hospital|mental institution|institution|mental home|asylum|madhouse,mental hospital|psychiatric hospital|mental institution|institution|mental home|asylum,mental hospital,madhouse,madhouse
insertion professionnel,fr,insertion professionnel,fr,intégration|emploi,,,intégration,emploi
insider trading,eng,insider trading,eng,fraud,,,fraud,fraud
insurance company,eng,insurance company,eng,insurance firm|insurer|insurance underwriter|underwriter,insurance firm|insurer|insurance underwriter|underwriter,insurance firm,insurer,insurer
insurance policy,eng,insurance policy,eng,policy|insurance|coverage,policy|insurance,policy,policy,coverage
interest rate,eng,interest rate,eng,rate of interest|rate|cost,rate of interest,rate of interest,rate,cost
intérêt général,fr,intérêt général,fr,collectivité|biencommun,,,collectivité,biencommun
iron collar,eng,iron collar,eng,garrote|garotte|garrotte|oppression,garrote|garotte|garrotte,garrote,,oppression
ivory tower,eng,ivory tower,eng,seclusion|aloofness,,,seclusion,aloofness
jet lag,eng,jet lag,eng,desynchronosis|fatigue,,,desynchronosis,fatigue
jeune fille,fr,jeune fille,fr,fille|gonzesse|jupe|minette|nana|oiseau|poupée|poussin|fifille|fillette|gamine|petite|jeune femme|femme|fi|petite amie|demoiselle|lassie|bonne|domestique|pucelle|vierge|adolescente,fille|gonzesse|jupe|minette|nana|oiseau|poupée|poussin|fifille|fillette|gamine|petite|jeune femme|femme|fi|petite amie|demoiselle|lassie|bonne|domestique|pucelle|vierge,fille,demoiselle,adolescente
job fair,eng,job fair,eng,recruitment,,,recruitment,recruitment
jogo duro,pt,jogo duro,pt,intransigência|firmeza,,,intransigência,firmeza
join the club,eng,join the club,eng,ditto,,,ditto,ditto
joined at the hip,eng,joined at the hip,eng,inseparable,,,inseparable,inseparable
journal officiel,fr,journal officiel,fr,gazette,,,gazette,gazette
jump on the bandwagon,eng,jump on the bandwagon,eng,join|conform,,,join,conform
jump through hoops,eng,jump through hoops,eng,comply|rigmarole,,,comply,rigmarole
juízo final,pt,juízo final,pt,apocalipse|julgamento,,,apocalipse,julgamento
kangaroo court,eng,kangaroo court,eng,sham|travesty,,,sham,travesty
keep a lid on,eng,keep a lid on,eng,suppress|control,,,suppress,control
keep tabs on,eng,keep tabs on,eng,monitor,,,monitor,monitor
keep the peace,eng,keep the peace,eng,pacify,,,pacify,pacify
kick the bucket,eng,kick the bucket,eng,die|decease|perish|go|exit|pass away|expire|pass|cash in one's chips|buy the farm|conk|give-up the ghost|drop dead|pop off|choke|croak|snuff it,die|decease|perish|go|exit|pass away|expire|pass|cash in one's chips|buy the farm|conk|give-up the ghost|drop dead|pop off|choke|croak|snuff it,die,die,die
kicking and screaming,eng,kicking and screaming,eng,unwillingly|reluctantly,,,unwillingly,reluctantly
kiss of death,eng,kiss of death,eng,deathblow|doom,,,deathblow,doom
knock someone's socks off,eng,knock someone's socks off,eng,amaze,,,amaze,amaze
know the score,eng,know the score,eng,be with it|be on the ball|know what's going on|know what's what|understand|informed,be with it|be on the ball|know what's going on|know what's what,be with it,understand,informed
labour union,eng,labour union,eng,union,,,union,union
langue français,fr,langue français,fr,français,,,français,français
law firm,eng,law firm,eng,practice,,,practice,practice
leap year,eng,leap year,eng,intercalary year|366 days|bissextile year|bissextile|intercalary,intercalary year|366 days|bissextile year,intercalary year,bissextile,intercalary
left and right,eng,left and right,eng,everywhere,,,everywhere,everywhere
leite integral,pt,leite integral,pt,gordo|inteiro,,,gordo,inteiro
let the cat out of the bag,eng,let the cat out of the bag,eng,spill the beans|talk|tattle|blab|peach|babble|sing|babble out|blab out|divulge|reveal,spill the beans|talk|tattle|blab|peach|babble|sing|babble out|blab out,spill the beans,divulge,reveal
leña verde,gl,leña verde,gl,malleira|novato,,,malleira,novato
licence to print money,eng,licence to print money,eng,goldmine,,,goldmine,goldmine
life belt,eng,life belt,eng,safety belt|safety harness|life buoy|lifesaver|life ring|lifebuoy,safety belt|safety harness|life buoy|lifesaver|life ring,safety belt,lifebuoy,lifebuoy
life vest,eng,life vest,eng,life jacket|cork jacket|lifejacket,life jacket|cork jacket,life jacket,lifejacket,lifejacket
ligazóns mortas,gl,ligazóns mortas,gl,rotas,,,rotas,rotas
light at the end of the tunnel,eng,light at the end of the tunnel,eng,hope,,,hope,hope
lime tree,eng,lime tree,eng,lime|Citrus aurantifolia|linden|linden tree|basswood|citrus,lime|Citrus aurantifolia|linden|linden tree|basswood,lime,linden,citrus
lingua galega,gl,lingua galega,gl,galego,,,galego,galego
lip service,eng,lip service,eng,hypocrisy|insincerity,hypocrisy,hypocrisy,insincerity,insincerity
lista negra,pt,lista negra,pt,proscrição|exclusão,,,proscrição,exclusão
lista negro,pt,lista negro,pt,exclusão,,,exclusão,exclusão
livre docente,pt,livre docente,pt,professor|habilitação,,,professor,habilitação
livre-docente,pt,livre-docente,pt,professor|título,,,professor,título
livro aberto,pt,livro aberto,pt,transparente|franqueza,,,transparente,franqueza
loan shark,eng,loan shark,eng,usurer|moneylender|shylock,usurer|moneylender|shylock,usurer,usurer,usurer
longa data,pt,longa data,pt,antigo|antigamente,,,antigo,antigamente
longa-metragem,pt,longa-metragem,pt,Longa metragem|filme,Longa metragem,Longa metragem,filme,filme
longo data,pt,longo data,pt,antigo|passado,,,antigo,passado
longo metragem,pt,longo metragem,pt,filme,,,filme,filme
look on the bright side,eng,look on the bright side,eng,optimistic|optimism,,,optimistic,optimism
look the other way,eng,look the other way,eng,ignore,,,ignore,ignore
look the part,eng,look the part,eng,fit|convincing,,,fit,convincing
loose woman,eng,loose woman,eng,adulteress|fornicatress|hussy|jade|slut|strumpet|trollop|promiscuous,adulteress|fornicatress|hussy|jade|slut|strumpet|trollop,adulteress,slut,promiscuous
lotus position,eng,lotus position,eng,padmasana|pose,,,padmasana,pose
love song,eng,love song,eng,love-song|serenade|ballad,love-song,love-song,serenade,ballad
low profile,eng,low profile,eng,inconspicuous|unobtrusive,,,inconspicuous,unobtrusive
lua cheia,pt,lua cheia,pt,plenilúnio|plenitude,plenilúnio,plenilúnio,plenilúnio,plenitude
lua cheio,pt,lua cheio,pt,plenilúnio,,,plenilúnio,plenilúnio
lua nova,pt,lua nova,pt,novilúnio|início,,,novilúnio,início
lua novo,pt,lua novo,pt,novilúnio|início,,,novilúnio,início
lugar comum,pt,lugar comum,pt,clichê,,,clichê,clichê
lugar-comum,pt,lugar-comum,pt,clichê,,,clichê,clichê
lume lento,gl,lume lento,gl,lentamente|paciência,,,lentamente,paciência
luz verde,gl,luz verde,gl,autorización|permiso,,,autorización,permiso
luz vermella,gl,luz vermella,gl,alarma|aviso,,,alarma,aviso
magia negra,pt,magia negra,pt,bruxaria|encanto|feitiço|poder mágico,bruxaria|encanto|feitiço|poder mágico,bruxaria,bruxaria,bruxaria
magia negro,pt,magia negro,pt,bruxaria,,,bruxaria,bruxaria
mail service,eng,mail service,eng,mail|postal service|post,mail|postal service|post,mail,post,post
mailing list,eng,mailing list,eng,listserv|recipients,,,listserv,recipients
make a clean break,eng,make a clean break,eng,sever,,,sever,sever
make a killing,eng,make a killing,eng,profit,,,profit,profit
make a meal of,eng,make a meal of,eng,overdo,,,overdo,overdo
make a move,eng,make a move,eng,act,,,act,act
make a splash,eng,make a splash,eng,impress,,,impress,impress
make the cut,eng,make the cut,eng,qualify,,,qualify,qualify
mar aberto,pt,mar aberto,pt,pélago|oceano,,,pélago,oceano
market place,eng,market place,eng,marketplace|mart|market,marketplace|mart|market,marketplace,marketplace,market
marketing consultant,eng,marketing consultant,eng,consultant|advisor,,,consultant,advisor
maré alta,pt,maré alta,pt,preamar|auge,preamar,preamar,preamar,auge
maré alto,pt,maré alto,pt,preamar|bonança,,,preamar,bonança
maré baixa,pt,maré baixa,pt,baixamar|vazante|declínio,baixamar,baixamar,vazante,declínio
maré baixo,pt,maré baixo,pt,vazante|crise,,,vazante,crise
marée noir,fr,marée noir,fr,pollution,,,pollution,pollution
masa salarial,gl,masa salarial,gl,nómina,,,nómina,nómina
massa cinzenta,pt,massa cinzenta,pt,inteligência|cérebro,,,inteligência,cérebro
massa cinzento,pt,massa cinzento,pt,inteligência|cérebro,,,inteligência,cérebro
match nul,fr,match nul,fr,dessiner|égalité,dessiner|égalité,dessiner,égalité,égalité
materia escura,gl,materia escura,gl,materia negra|materia|invisibilidade,materia negra,materia negra,materia,invisibilidade
matière gras,fr,matière gras,fr,graisse,,,graisse,graisse
matière gris,fr,matière gris,fr,intelligence,,,intelligence,intelligence
matière premier,fr,matière premier,fr,matériau|ressource,,,matériau,ressource
mau contato,pt,mau contato,pt,defeito|falha,,,defeito,falha
mau fé,pt,mau fé,pt,desonestidade,,,desonestidade,desonestidade
mau humor,pt,mau humor,pt,rabugice,,,rabugice,rabugice
mau olhado,pt,mau olhado,pt,Mau-olhado|ouolho gordo|quebranto|inveja,Mau-olhado|ouolho gordo,Mau-olhado,quebranto,inveja
mau-humor,pt,mau-humor,pt,rabugice|irritabilidade,,,rabugice,irritabilidade
mau-olhado,pt,mau-olhado,pt,mau olhado|ouolho gordo|quebranto|inveja,mau olhado|ouolho gordo,mau olhado,quebranto,inveja
mauvais foi,fr,mauvais foi,fr,insincérité|malhonnêteté,,,insincérité,malhonnêteté
mauvais langue,fr,mauvais langue,fr,médisant|ragot,,,médisant,ragot
meat and potatoes,eng,meat and potatoes,eng,essentials,,,essentials,essentials
medical procedure,eng,medical procedure,eng,operation|treatment,,,operation,treatment
melting pot,eng,melting pot,eng,crucible|amalgam|assimilation,crucible,crucible,amalgam,assimilation
memoria viva,gl,memoria viva,gl,recordo,,,recordo,recordo
memory lane,eng,memory lane,eng,nostalgia,,,nostalgia,nostalgia
mental disorder,eng,mental disorder,eng,mental disturbance|disturbance|psychological disorder|folie|psychopathology|illness,mental disturbance|disturbance|psychological disorder|folie,mental disturbance,psychopathology,illness
mercado negro,pt,mercado negro,pt,contrabando|ilegal,,,contrabando,ilegal
mesa redondo,pt,mesa redondo,pt,debate,,,debate,debate
mesa-redonda,pt,mesa-redonda,pt,debate,,,debate,debate
middle school,eng,middle school,eng,secondary school|lyceum|lycee|Gymnasium|school|adolescence,secondary school|lyceum|lycee|Gymnasium,secondary school,school,adolescence
milk tooth,eng,milk tooth,eng,primary tooth|deciduous tooth|baby tooth|deciduous,primary tooth|deciduous tooth|baby tooth,primary tooth,deciduous,deciduous
moment of truth,eng,moment of truth,eng,crisis|test,,,crisis,test
monkey business,eng,monkey business,eng,mischief,,,mischief,mischief
montagne russe,fr,montagne russe,fr,manège|oscillation,,,manège,oscillation
montanha russo,pt,montanha russo,pt,brinquedo|emoções,,,brinquedo,emoções
