text_id,text,lang,text_type
t00005967,chien,fr,paraphrase
t00005968,chien loup,fr,paraphrase
t00005969,berger alsacien,fr,paraphrase
t00005970,chien de garde,fr,paraphrase
t00005971,berger d'alsace,fr,paraphrase
t00005972,chien de berger,fr,paraphrase
t00005973,chien policier,fr,paraphrase
t00005974,grand chien courreur,fr,paraphrase
t00005975,animal domestic,fr,paraphrase
t00005976,race,fr,paraphrase
t00005977,chien de bergee,fr,paraphrase
t00005978,chien de race,fr,paraphrase
t00005979,chiot,fr,paraphrase
t00005980,chien de race pure,fr,paraphrase
t00005981,bon sens,fr,expression
t00005982,sens,fr,head
t00005983,bon,fr,modifier
t00005984,sens,fr,paraphrase
t00005985,sens commun,fr,paraphrase
t00005986,raison,fr,paraphrase
t00005987,logique,fr,paraphrase
t00005988,sagesse,fr,paraphrase
t00005989,discernement,fr,paraphrase
t00005990,judicieux,fr,paraphrase
t00005991,respect,fr,paraphrase
t00005992,principe,fr,paraphrase
t00005993,opinion commune,fr,paraphrase
t00005994,jugement bienfondã©,fr,paraphrase
t00005995,droiture,fr,paraphrase
t00005996,bon gout,fr,paraphrase
t00005997,bon vent,fr,expression
t00005998,vent,fr,head
t00005999,adieu,fr,paraphrase
t00006000,chance,fr,paraphrase
t00006001,bonne chance,fr,paraphrase
t00006002,bon voyage,fr,paraphrase
t00006003,bonne route,fr,paraphrase
t00006004,au revoir,fr,paraphrase
t00006005,bon courage,fr,paraphrase
t00006006,bon dã©barras,fr,paraphrase
t00006007,bon dã©part,fr,paraphrase
t00006008,souhait de succã¨s,fr,paraphrase
t00006009,succès,fr,paraphrase
t00006010,bonne continuation,fr,paraphrase
t00006011,bon vivant,fr,expression
t00006012,vivant,fr,head
t00006013,fine gueule,fr,paraphrase
t00006014,friandise,fr,paraphrase
t00006015,gastronome,fr,paraphrase
t00006016,gourmand,fr,paraphrase
t00006017,gourmet,fr,paraphrase
t00006018,épicurien,fr,paraphrase
t00006019,joyeux,fr,paraphrase
t00006020,fãªtard,fr,paraphrase
t00006021,gai luron,fr,paraphrase
t00006022,commode,fr,paraphrase
t00006023,ã©picurien,fr,paraphrase
t00006024,joyeux compagnon,fr,paraphrase
t00006025,heureux,fr,paraphrase
t00006026,fêtard,fr,paraphrase
t00006027,gros mangeur,fr,paraphrase
t00006028,epicurien,fr,paraphrase
t00006029,qui aime la fete,fr,paraphrase
t00006030,aime la vie,fr,paraphrase
t00006031,profite,fr,paraphrase
t00006032,festif,fr,paraphrase
t00006033,vif,fr,paraphrase
t00006034,paresseux,fr,paraphrase
t00006035,boute en train,fr,paraphrase
t00006036,joyeux drille,fr,paraphrase
t00006037,jouisseur,fr,paraphrase
t00006038,plaisant,fr,paraphrase
t00006039,bec fin,fr,paraphrase
t00006040,jovial,fr,paraphrase
t00006041,amical,fr,paraphrase
t00006042,bonne humeur,fr,paraphrase
t00006043,bon humeur,fr,expression
t00006044,humeur,fr,head
t00006045,bonne,fr,modifier
t00006046,gaieté,fr,paraphrase
t00006047,content,fr,paraphrase
t00006048,joie,fr,paraphrase
t00006049,gaiement,fr,paraphrase
t00006050,gai,fr,paraphrase
t00006051,bon poil,fr,paraphrase
t00006052,bonne disposition,fr,paraphrase
t00006053,enjouã©,fr,paraphrase
t00006054,agréable,fr,paraphrase
t00006055,cordialité,fr,paraphrase
t00006056,sympathie,fr,paraphrase
t00006057,attitude,fr,paraphrase
t00006058,ãtat d'esprit,fr,paraphrase
t00006059,bonheur,fr,paraphrase
t00006060,gaie,fr,paraphrase
t00006061,gaietã©,fr,paraphrase
t00006062,bon poire,fr,expression
t00006063,poire,fr,head
t00006064,naïf,fr,paraphrase
t00006065,dupe,fr,paraphrase
t00006066,personne naã¯ve,fr,paraphrase
t00006067,personne trop gentille,fr,paraphrase
t00006068,personne trop bonne,fr,paraphrase
t00006069,trop bon,fr,paraphrase
t00006070,personne naïve,fr,paraphrase
t00006071,naã¯ve,fr,paraphrase
t00006072,quelqu'un qui est trop serviable,fr,paraphrase
t00006073,gentil,fr,paraphrase
t00006074,personne naive,fr,paraphrase
t00006075,bonne tãªte,fr,paraphrase
t00006076,bonne bouille,fr,paraphrase
t00006077,individu qui manque de caractere,fr,paraphrase
t00006078,individu qui rend services aux autres,fr,paraphrase
t00006079,bã©ni oui oui,fr,paraphrase
t00006080,naif,fr,paraphrase
t00006081,nigaud,fr,paraphrase
t00006082,candive,fr,paraphrase
t00006083,naã¯f,fr,paraphrase
t00006084,pigeon,fr,paraphrase
t00006085,personne facilement abusable,fr,paraphrase
t00006086,personne qui ne sait pasd dire non,fr,paraphrase
t00006087,personne de bonne composition,fr,paraphrase
t00006088,bonne pomme,fr,paraphrase
t00006089,bon pratique,fr,expression
t00006090,pratique,fr,head
t00006091,usage,fr,paraphrase
t00006092,norme,fr,paraphrase
t00006093,bonne habitude,fr,paraphrase
t00006094,bienfaisante,fr,paraphrase
t00006095,bonnes habitudes,fr,paraphrase
t00006096,bon usage,fr,paraphrase
t00006097,bien faire,fr,paraphrase
t00006098,correct,fr,paraphrase
t00006099,professionnalisme,fr,paraphrase
t00006100,sã©rieuse pratique,fr,paraphrase
t00006101,règlement,fr,paraphrase
t00006102,pratiques standards,fr,paraphrase
t00006103,meilleures faã§ons de faire,fr,paraphrase
t00006104,bonne conduite,fr,paraphrase
t00006105,règle,fr,paraphrase
t00006106,bonne moeur,fr,paraphrase
t00006107,application,fr,paraphrase
t00006108,pratiques à respecter,fr,paraphrase
t00006109,codes à pratiquer,fr,paraphrase
t00006110,code de déontologie,fr,paraphrase
t00006111,bonne procédure,fr,paraphrase
t00006112,savoir faire,fr,paraphrase
t00006113,meilleure façon de compléter quelque chose,fr,paraphrase
t00006114,pratique courante,fr,paraphrase
t00006115,bouc émissaire,fr,expression
t00006116,bouc,fr,head
t00006117,émissaire,fr,modifier
t00006118,victime,fr,paraphrase
t00006119,souffre douleur,fr,paraphrase
t00006120,victime expiatoire,fr,paraphrase
t00006121,individu qui paie pour les autres,fr,paraphrase
t00006122,homme de paille,fr,paraphrase
t00006123,faux coupable,fr,paraphrase
t00006124,coupable désigné,fr,paraphrase
t00006125,individu portant la responsabilité,fr,paraphrase
t00006126,individu pour endosser la responbsabilitã©,fr,paraphrase
t00006127,personne innocente qu'on accuse,fr,paraphrase
t00006128,tort,fr,paraphrase
t00006129,fautive,fr,paraphrase
t00006130,personne responsable,fr,paraphrase
t00006131,pharmakos,fr,paraphrase
t00006132,responsable de tous les torts,fr,paraphrase
t00006133,victime expiatioire,fr,paraphrase
t00006134,coupable dã©signã©,fr,paraphrase
t00006135,responsable arbitrairement nommã©,fr,paraphrase
t00006136,rã©prouvã©,fr,paraphrase
t00006137,maudit,fr,paraphrase
t00006138,tãªte de turc,fr,paraphrase
t00006139,bras cassé,fr,expression
t00006140,bras,fr,head
t00006141,cassé,fr,modifier
t00006142,incapable,fr,paraphrase
t00006143,maladroit,fr,paraphrase
t00006144,nuls,fr,paraphrase
t00006145,bon à rien,fr,paraphrase
t00006146,incapables,fr,paraphrase
t00006147,minable,fr,paraphrase
t00006148,gaffeur,fr,paraphrase
t00006149,incompétent,fr,paraphrase
t00006150,bon ã rien,fr,paraphrase
t00006151,des nuls,fr,paraphrase
t00006152,des incompã©tents,fr,paraphrase
t00006153,mauvais,fr,paraphrase
t00006154,des incapables,fr,paraphrase
t00006155,incompã©tent,fr,paraphrase
t00006156,empotã©,fr,paraphrase
t00006157,perdant,fr,paraphrase
t00006158,raté,fr,paraphrase
t00006159,group de paresseux,fr,paraphrase
t00006160,peu productifs,fr,paraphrase
t00006161,abrutis,fr,paraphrase
t00006162,bon a rien,fr,paraphrase
t00006163,nul,fr,paraphrase
t00006164,pas doue,fr,paraphrase
t00006165,bras droit,fr,expression
t00006166,droit,fr,modifier
t00006167,grouillot,fr,paraphrase
t00006168,adjoint,fr,paraphrase
t00006169,collaborateur,fr,paraphrase
t00006170,homme de confiance,fr,paraphrase
t00006171,assistant principal,fr,paraphrase
t00006172,proche,fr,paraphrase
t00006173,allié proche,fr,paraphrase
t00006174,délégué de confiance,fr,paraphrase
t00006175,aide direct,fr,paraphrase
t00006176,personne sur laquelle il dã©pend,fr,paraphrase
t00006177,principal assistant d'une personne,fr,paraphrase
t00006178,collaborateur proche,fr,paraphrase
t00006179,alter ã©go,fr,paraphrase
t00006180,associã©,fr,paraphrase
t00006181,acolyte,fr,paraphrase
t00006182,second,fr,paraphrase
t00006183,agent d'exã©cution,fr,paraphrase
t00006184,conseiller,fr,paraphrase
t00006185,associe,fr,paraphrase
t00006186,subalterne,fr,paraphrase
t00006187,personne de confiance,fr,paraphrase
t00006188,personne de prã©dilection,fr,paraphrase
t00006189,brebis galeux,fr,expression
t00006190,brebis,fr,head
t00006191,galeuse,fr,modifier
t00006192,indésirable,fr,paraphrase
t00006193,paria,fr,paraphrase
t00006194,agent provocateur,fr,paraphrase
t00006195,personne indã©sirable,fr,paraphrase
t00006196,mouton noir,fr,paraphrase
t00006197,rebelle,fr,paraphrase
t00006198,associal,fr,paraphrase
t00006199,personne a l'influence corruptrice,fr,paraphrase
t00006200,personne que l'on evite,fr,paraphrase
t00006201,vilain petit canard,fr,paraphrase
t00006202,bouc ã©missaire,fr,paraphrase
t00006203,personne rejetã©e,fr,paraphrase
t00006204,quelqu'un indã©sirable,fr,paraphrase
t00006205,pestifã©rã©,fr,paraphrase
t00006206,ã©carter,fr,paraphrase
t00006207,judas,fr,paraphrase
t00006208,pariah,fr,paraphrase
t00006209,personne que l'on évite,fr,paraphrase
t00006210,personne à l'influence pernicieuse et corruptrice,fr,paraphrase
t00006211,personne dangã©reuse,fr,paraphrase
t00006212,mauvaise herbe,fr,paraphrase
t00006213,pesteux,fr,paraphrase
t00006214,mauvaise persone,fr,paraphrase
t00006215,mauvais élément,fr,paraphrase
t00006216,traître,fr,paraphrase
t00006217,personne indésirable,fr,paraphrase
t00006218,personne rejetée,fr,paraphrase
t00006219,carte blanc,fr,expression
t00006220,carte,fr,head
t00006221,blanche,fr,modifier
t00006222,liberté,fr,paraphrase
t00006223,permission,fr,paraphrase
t00006224,autorisation,fr,paraphrase
t00006225,liberté totale,fr,paraphrase
t00006226,pouvoir,fr,paraphrase
t00006227,plein pouvoir,fr,paraphrase
t00006228,libre initiative,fr,paraphrase
t00006229,voie libre,fr,paraphrase
t00006230,cartier libre,fr,paraphrase
t00006231,privilege de tout faire,fr,paraphrase
t00006232,libre champs,fr,paraphrase
t00006233,pleins pouvoirs pour accomplir une tâche,fr,paraphrase
t00006234,pleins pouvoirs,fr,paraphrase
t00006235,blanc seing,fr,paraphrase
t00006236,confiance aveugle,fr,paraphrase
t00006237,laisse faire total,fr,paraphrase
t00006238,tout les moyens,fr,paraphrase
t00006239,puissance,fr,paraphrase
t00006240,libertã©,fr,paraphrase
t00006241,donner libre cours à sa créativité,fr,paraphrase
t00006242,toute latitude,fr,paraphrase
t00006243,feux vert,fr,paraphrase
t00006244,donner le pouvoir,fr,paraphrase
t00006245,ayaint la permission,fr,paraphrase
t00006246,facil,fr,paraphrase
t00006247,n'importe quoi n'importe quand,fr,paraphrase
t00006248,carte bleu,fr,expression
t00006249,bleue,fr,modifier
t00006250,CB,fr,paraphrase
t00006251,carte,fr,paraphrase
t00006252,carte bancaire,fr,paraphrase
t00006253,carte de crédit,fr,paraphrase
t00006254,carte de paiement,fr,paraphrase
t00006255,carte de crã©dit,fr,paraphrase
t00006256,carte de débit,fr,paraphrase
t00006257,carte de paiment,fr,paraphrase
t00006258,carte plastique,fr,paraphrase
t00006259,payment,fr,paraphrase
t00006260,däbit,fr,paraphrase
t00006261,cartes de crédit,fr,paraphrase
t00006262,monnaie ã©lectronique,fr,paraphrase
t00006263,carte ã puce ã©lectronique integrã©e,fr,paraphrase
t00006264,carte visa,fr,paraphrase
t00006265,carte électronique,fr,paraphrase
t00006266,plastique de paiement,fr,paraphrase
t00006267,paiement eléctronique,fr,paraphrase
t00006268,monnaie electronique,fr,paraphrase
t00006269,carte de credit,fr,paraphrase
t00006270,carte gris,fr,expression
t00006271,grise,fr,modifier
t00006272,immatriculation,fr,paraphrase
t00006273,certificat d'immatriculation,fr,paraphrase
t00006274,carte d'identitã© d'un vã©hicule,fr,paraphrase
t00006275,autorisation de circuler,fr,paraphrase
t00006276,carte de véhicule,fr,paraphrase
t00006277,certificat de propriété de voiture,fr,paraphrase
t00006278,"en france, carte pour vehicule",fr,paraphrase
t00006279,carte de titre pour vehicule,fr,paraphrase
t00006280,identification du vã©hicule,fr,paraphrase
t00006281,papier du vã©hicule,fr,paraphrase
t00006282,papiers du vã©hicule,fr,paraphrase
t00006283,document qui matérialise l'autorisation de circuler un véhicule,fr,paraphrase
t00006284,preuve d'immatriculation d'un vã©hicule,fr,paraphrase
t00006285,papier de voiture,fr,paraphrase
t00006286,carte d'enregistrement d'un vã©hicule,fr,paraphrase
t00006287,identification du véhicule,fr,paraphrase
t00006288,papier d'identification d'un véhicule,fr,paraphrase
t00006289,carte d'identité du véhicule,fr,paraphrase
t00006290,identitã© d'un vã©hicule,fr,paraphrase
t00006291,certificat d'immatriculation vehicule,fr,paraphrase
t00006292,document qui matérialise l'autorisation de circuler du véhicule et permet son identification en france,fr,paraphrase
t00006293,carte vital,fr,expression
t00006294,vitale,fr,modifier
t00006295,sécu,fr,paraphrase
t00006296,assurance,fr,paraphrase
t00006297,carte d'assurã© social,fr,paraphrase
t00006298,carte d'assurance maladie,fr,paraphrase
t00006299,carte de santé,fr,paraphrase
t00006300,carte de sécurite sociale,fr,paraphrase
t00006301,carte en france,fr,paraphrase
t00006302,carte pour identite etc,fr,paraphrase
t00006303,carte de sécurité sociale,fr,paraphrase
t00006304,carte assurance maladie,fr,paraphrase
t00006305,ticket,fr,paraphrase
t00006306,abonnement,fr,paraphrase
t00006307,carte de sã©curitã© sociale,fr,paraphrase
t00006308,carte de santã©,fr,paraphrase
t00006309,carte d'assuré à la sécurité sociale,fr,paraphrase
t00006310,carte de sécu,fr,paraphrase
t00006311,carte d'adhérent à l'assurance maladie,fr,paraphrase
t00006312,bristol,fr,paraphrase
t00006313,carte de visite,fr,paraphrase
t00006314,carte d'assurã©,fr,paraphrase
t00006315,carte d'assurance,fr,paraphrase
t00006316,carte de remboursement,fr,paraphrase
t00006317,carte de sante,fr,paraphrase
t00006318,carton plein,fr,expression
t00006319,carton,fr,head
t00006320,plein,fr,modifier
t00006321,triomphe,fr,paraphrase
t00006322,réussite,fr,paraphrase
t00006323,reussir,fr,paraphrase
t00006324,succã¨s,fr,paraphrase
t00006325,victoire,fr,paraphrase
t00006326,complet,fr,paraphrase
t00006327,succes eclatant,fr,paraphrase
t00006328,réussite complète,fr,paraphrase
t00006329,réussite totale,fr,paraphrase
t00006330,succès retentissant,fr,paraphrase
t00006331,realiser,fr,paraphrase
t00006332,briller de succã¨s,fr,paraphrase
t00006333,rã©ussir remarquablement,fr,paraphrase
t00006334,succã¨s total,fr,paraphrase
t00006335,réussir,fr,paraphrase
t00006336,réussir de façon éclatante,fr,paraphrase
t00006337,rã©ussite,fr,paraphrase
t00006338,victoire éclatante,fr,paraphrase
t00006339,casque bleu,fr,expression
t00006340,casque,fr,head
t00006341,bleu,fr,modifier
t00006342,pacificateur,fr,paraphrase
t00006343,soldat de la paix,fr,paraphrase
t00006344,force de maintien de la paix,fr,paraphrase
t00006345,bã©ret bleu,fr,paraphrase
t00006346,force de l'onu,fr,paraphrase
t00006347,soldats de l'onu,fr,paraphrase
t00006348,soldat,fr,paraphrase
t00006349,soldat de l'onu,fr,paraphrase
t00006350,militaire pacificateur,fr,paraphrase
t00006351,mã©diateur,fr,paraphrase
t00006352,saldat de la paix,fr,paraphrase
t00006353,soldats des nations unies,fr,paraphrase
t00006354,soldats au services des nations unies,fr,paraphrase
t00006355,mission militaire de l'onu,fr,paraphrase
t00006356,forces d'interposition de l'onu,fr,paraphrase
t00006357,soldat des forces internationales,fr,paraphrase
t00006358,force de maintien de paix,fr,paraphrase
t00006359,foce militaire de l'onu,fr,paraphrase
t00006360,force de paix,fr,paraphrase
t00006361,armée mondiale,fr,paraphrase
t00006362,soldat de un,fr,paraphrase
t00006363,militaires de l'un,fr,paraphrase
t00006364,reprã©sentant de la paix,fr,paraphrase
t00006365,soldat onusien,fr,paraphrase
t00006366,soldat des onu,fr,paraphrase
t00006367,maintien de la paix,fr,paraphrase
t00006368,neutre,fr,paraphrase
t00006369,centre commercial,fr,expression
t00006370,centre,fr,head
t00006371,commercial,fr,modifier
t00006372,centre,fr,paraphrase
t00006373,centre d'achat,fr,paraphrase
t00006374,centre d'achats,fr,paraphrase
t00006375,place,fr,paraphrase
t00006376,winkelgalerij,fr,paraphrase
t00006377,mall,fr,paraphrase
t00006378,galerie,fr,paraphrase
t00006379,galerie marchande,fr,paraphrase
t00006380,hypermarchã©,fr,paraphrase
t00006381,grand magasin,fr,paraphrase
t00006382,galerie commerciale,fr,paraphrase
t00006383,gallerie marchande,fr,paraphrase
t00006384,surface d'achats,fr,paraphrase
t00006385,supermarché,fr,paraphrase
t00006386,galerie marchand,fr,paraphrase
t00006387,centre pour shopping,fr,paraphrase
t00006388,centrale d'achats,fr,paraphrase
t00006389,hypermarché,fr,paraphrase
t00006390,grande surface de plusieurs commerces,fr,paraphrase
t00006391,parc commercial,fr,paraphrase
t00006392,ensemble de commerce,fr,paraphrase
t00006393,bã¢timent pour les commerces,fr,paraphrase
t00006394,espace commercial,fr,paraphrase
t00006395,shopping,fr,paraphrase
t00006396,magasin,fr,paraphrase
t00006397,supermarchã©,fr,paraphrase
t00006398,supermarche,fr,paraphrase
t00006399,rue piã©tonne,fr,paraphrase
t00006400,mail,fr,paraphrase
t00006401,cercle vicieux,fr,expression
t00006402,cercle,fr,head
t00006403,vicieux,fr,modifier
t00006404,engrenage,fr,paraphrase
t00006405,spirale,fr,paraphrase
t00006406,situation inextricable,fr,paraphrase
t00006407,enchaã®nement diabolique,fr,paraphrase
t00006408,conséquences négatives,fr,paraphrase
t00006409,situation sans controle,fr,paraphrase
t00006410,cercle qu'on ne peut echapper,fr,paraphrase
t00006411,evenement qui se repete sans control,fr,paraphrase
t00006412,consã©quences,fr,paraphrase
t00006413,suite de problã¨mes,fr,paraphrase
t00006414,c'est le serpent qui se mord la queue,fr,paraphrase
t00006415,spirale infernale,fr,paraphrase
t00006416,situation de laquelle on ne peut sortir,fr,paraphrase
t00006417,situation qui va en cercle,fr,paraphrase
t00006418,effet boule de neige,fr,paraphrase
t00006419,spirale vicieuse,fr,paraphrase
t00006420,voie sans issue,fr,paraphrase
t00006421,piã¨ge ã rat,fr,paraphrase
t00006422,situation complexe,fr,paraphrase
t00006423,situation complexe dont on ne sait comment se sortir,fr,paraphrase
t00006424,situation sans issue,fr,paraphrase
t00006425,piã¨ge,fr,paraphrase
t00006426,mauvaise pente,fr,paraphrase
t00006427,spirale diabolique,fr,paraphrase
t00006428,perdition,fr,paraphrase
t00006429,vice,fr,paraphrase
t00006430,cycle,fr,paraphrase
t00006431,rã©volution,fr,paraphrase
t00006432,situation fâcheuse,fr,paraphrase
t00006433,mauvaise situation,fr,paraphrase
t00006434,somme de mauvaises dã©cisions,fr,paraphrase
t00006435,cerf volant,fr,expression
t00006436,cerf,fr,head
t00006437,volant,fr,modifier
t00006438,comète,fr,paraphrase
t00006439,cerfvolant,fr,paraphrase
t00006440,lucane,fr,paraphrase
t00006441,jouet volant,fr,paraphrase
t00006442,jouet,fr,paraphrase
t00006443,engin volant,fr,paraphrase
t00006444,papier et ficelle,fr,paraphrase
t00006445,aérodyne,fr,paraphrase
t00006446,armature légère volante,fr,paraphrase
t00006447,avion de papier,fr,paraphrase
t00006448,jeu,fr,paraphrase
t00006449,objet volant,fr,paraphrase
t00006450,dragon volant,fr,paraphrase
t00006451,serpent volant,fr,paraphrase
t00006452,aã©rodyne,fr,paraphrase
t00006453,ã©coufle,fr,paraphrase
t00006454,jeu de plein air,fr,paraphrase
t00006455,voile,fr,paraphrase
t00006456,ãcoufle,fr,paraphrase
t00006457,jouet volant au bout d'un ficelle,fr,paraphrase
t00006458,ecoufle,fr,paraphrase
t00006459,triangle volant,fr,paraphrase
t00006460,jeux,fr,paraphrase
t00006461,chambre froid,fr,expression
t00006462,chambre,fr,head
t00006463,froide,fr,modifier
t00006464,réfrigérateur,fr,paraphrase
t00006465,frigo,fr,paraphrase
t00006466,entrepã´t frigorifique,fr,paraphrase
t00006467,rã©frigã©rateur,fr,paraphrase
t00006468,glaciã¨re,fr,paraphrase
t00006469,congã©lateur,fr,paraphrase
t00006470,chambre frigorifique,fr,paraphrase
t00006471,grand rã©frigã©rateur,fr,paraphrase
t00006472,réfrigirateur,fr,paraphrase
t00006473,frigidaire,fr,paraphrase
t00006474,chambre a temperature basse,fr,paraphrase
t00006475,chambre frigidaire,fr,paraphrase
t00006476,chambre a temperature tres basse,fr,paraphrase
t00006477,salle frigorifique,fr,paraphrase
t00006478,frigorifiã¨re,fr,paraphrase
t00006479,cour,fr,paraphrase
t00006480,pièce,fr,paraphrase
t00006481,frigorifã¨re,fr,paraphrase
t00006482,piã¨ce rã©frã©girante,fr,paraphrase
t00006483,chambre réfrigéré,fr,paraphrase
t00006484,rã©frigerateur,fr,paraphrase
t00006485,refrigerateur,fr,paraphrase
t00006486,frigorifere,fr,paraphrase
t00006487,changement climatique,fr,expression
t00006488,changement,fr,head
t00006489,climatique,fr,modifier
t00006490,réchauffement,fr,paraphrase
t00006491,dã©rã¨glement climatique,fr,paraphrase
t00006492,modification du climat,fr,paraphrase
t00006493,rã©chauffement de la planã¨te,fr,paraphrase
t00006494,rã©chauffement climatique,fr,paraphrase
t00006495,climat annormal,fr,paraphrase
t00006496,climat alterné,fr,paraphrase
t00006497,ã©volution mã©tã©orologique,fr,paraphrase
t00006498,changement mã©tã©orologique,fr,paraphrase
t00006499,quand le climat change,fr,paraphrase
t00006500,difference dans le climat,fr,paraphrase
t00006501,bouleversement,fr,paraphrase
t00006502,mã©tã©orologique,fr,paraphrase
t00006503,dã©rã©glements climatiques,fr,paraphrase
t00006504,transformations climatiques,fr,paraphrase
t00006505,altération de la temperature,fr,paraphrase
t00006506,changement de climat,fr,paraphrase
t00006507,variations des caractã©ristiques climatiques,fr,paraphrase
t00006508,perturbation du climat,fr,paraphrase
t00006509,changement des tempã©ratures,fr,paraphrase
t00006510,rã©chauffement,fr,paraphrase
t00006511,chaleur,fr,paraphrase
t00006512,dysfonctionnement climatique,fr,paraphrase
t00006513,altã©ration,fr,paraphrase
t00006514,changements dans le climat,fr,paraphrase
t00006515,variations de tempã©rature,fr,paraphrase
t00006516,altã©rations climatiques,fr,paraphrase
t00006517,mutations climatiques,fr,paraphrase
t00006518,chapeau bas,fr,expression
t00006519,chapeau,fr,head
t00006520,bravo,fr,paraphrase
t00006521,admiration,fr,paraphrase
t00006522,fã©licitations,fr,paraphrase
t00006523,félicitations,fr,paraphrase
t00006524,félicitation,fr,paraphrase
t00006525,compliments,fr,paraphrase
t00006526,compliment,fr,paraphrase
t00006527,coup de chapeau,fr,paraphrase
t00006528,clameur,fr,paraphrase
t00006529,dã©monstration de respect,fr,paraphrase
t00006530,reconnaissance de qualitã©,fr,paraphrase
t00006531,reconnaã®tre des mã©rites,fr,paraphrase
t00006532,des fã©licitations,fr,paraphrase
t00006533,remerciements,fr,paraphrase
t00006534,fã©licitations!,fr,paraphrase
t00006535,gratitude,fr,paraphrase
t00006536,performance remarquable,fr,paraphrase
t00006537,applaudissements,fr,paraphrase
t00006538,excellent,fr,paraphrase
t00006539,merci,fr,paraphrase
t00006540,mon admiration,fr,paraphrase
t00006541,bien fait,fr,paraphrase
t00006542,congratulations,fr,paraphrase
t00006543,charge social,fr,expression
t00006544,charge,fr,head
t00006545,sociale,fr,modifier
t00006546,cotisation,fr,paraphrase
t00006547,cotisations,fr,paraphrase
t00006548,cotisation sociale,fr,paraphrase
t00006549,taxes,fr,paraphrase
t00006550,cotisations sociales,fr,paraphrase
t00006551,charge publique,fr,paraphrase
t00006552,taxe,fr,paraphrase
t00006553,impôt obligatoire,fr,paraphrase
t00006554,des charges en surplus,fr,paraphrase
t00006555,charges qu'on doit payer,fr,paraphrase
t00006556,taxe sociale,fr,paraphrase
t00006557,impôt social,fr,paraphrase
t00006558,taxes payã©es par l'employã©,fr,paraphrase
t00006559,coã»ts pour l'employeur,fr,paraphrase
t00006560,prélèvement obligatoires,fr,paraphrase
t00006561,cotisation sur les salaires,fr,paraphrase
t00006562,taxe fiscale sur les salaires,fr,paraphrase
t00006563,taxe sur le travail,fr,paraphrase
t00006564,contribution sociale,fr,paraphrase
t00006565,impã´ts,fr,paraphrase
t00006566,contribution,fr,paraphrase
t00006567,frais sociaux,fr,paraphrase
t00006568,impôt,fr,paraphrase
t00006569,chauve souris,fr,expression
t00006570,souris,fr,head
t00006571,chauve,fr,modifier
t00006572,chiroptère,fr,paraphrase
t00006573,mammifère,fr,paraphrase
t00006574,mammifère volant,fr,paraphrase
t00006575,chiroptã¨re,fr,paraphrase
t00006576,vampire,fr,paraphrase
t00006577,noctule,fr,paraphrase
t00006578,roussette,fr,paraphrase
t00006579,animal volant à sang chaud,fr,paraphrase
t00006580,murin,fr,paraphrase
t00006581,renard volant,fr,paraphrase
t00006582,chauvesouris,fr,paraphrase
t00006583,mamifã¨re volant,fr,paraphrase
t00006584,chiroptera,fr,paraphrase
t00006585,oreillard,fr,paraphrase
t00006586,chiroptères,fr,paraphrase
t00006587,chute libre,fr,expression
t00006588,chute,fr,head
t00006589,libre,fr,modifier
t00006590,dégringolade,fr,paraphrase
t00006591,chute,fr,paraphrase
t00006592,saut en parachute,fr,paraphrase
t00006593,saut avant l'ouverture du parachute,fr,paraphrase
t00006594,chute geree par la gravite,fr,paraphrase
t00006595,chute avec la force du poids,fr,paraphrase
t00006596,chute verticale,fr,paraphrase
t00006597,vriller,fr,paraphrase
t00006598,chutte d'un corps soumis a son poids,fr,paraphrase
t00006599,tomber sans parachute,fr,paraphrase
t00006600,chute prã© ouverture du parachute,fr,paraphrase
t00006601,saut en chute libre,fr,paraphrase
t00006602,se laisser aller moralement,fr,paraphrase
t00006603,fait de tomber,fr,paraphrase
t00006604,aller ver le bas brutalement,fr,paraphrase
t00006605,mouvement descendant,fr,paraphrase
t00006606,tomber brusquement,fr,paraphrase
t00006607,chute dans le vide,fr,paraphrase
t00006608,action de tomber,fr,paraphrase
t00006609,chute non retenue,fr,paraphrase
t00006610,saut libre,fr,paraphrase
t00006611,précipitation,fr,paraphrase
t00006612,anéantissement,fr,paraphrase
t00006613,sauter d'un avion,fr,paraphrase
t00006614,base jumping,fr,paraphrase
t00006615,club privé,fr,expression
t00006616,club,fr,head
t00006617,privé,fr,modifier
t00006618,cercle,fr,paraphrase
t00006619,exclusif,fr,paraphrase
t00006620,association,fr,paraphrase
t00006621,boîte de nuit,fr,paraphrase
t00006622,discothèque,fr,paraphrase
t00006623,club pas public,fr,paraphrase
t00006624,club pour ses membres,fr,paraphrase
t00006625,fratrie,fr,paraphrase
t00006626,discothèque exclusive,fr,paraphrase
t00006627,club qui n'est pas public,fr,paraphrase
t00006628,club strictement pour ses membres,fr,paraphrase
t00006629,rassemblement sã©lectif,fr,paraphrase
t00006630,cercle fermã©,fr,paraphrase
t00006631,club sã©lect,fr,paraphrase
t00006632,cercle privã©,fr,paraphrase
t00006633,club select,fr,paraphrase
t00006634,club vip,fr,paraphrase
t00006635,club de gentlemen,fr,paraphrase
t00006636,association privé,fr,paraphrase
t00006637,groupe,fr,paraphrase
t00006638,partenariat,fr,paraphrase
t00006639,association non gouvernementale,fr,paraphrase
t00006640,association privée,fr,paraphrase
t00006641,cercle privé,fr,paraphrase
t00006642,assemble,fr,paraphrase
